2015-06-16 16:50:48 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 57
2015-06-16 16:50:48 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 60
2015-06-16 16:50:48 - PHP Warning:  fopen(C:\server\www\vaj_form/download/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 87
2015-06-16 16:50:48 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 89
2015-06-16 16:50:48 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 91
2015-06-16 16:50:48 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 94
2015-06-16 16:50:48 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 136 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 16:50:48 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-16 16:50:48 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 248 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 16:50:48 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 17
2015-06-16 16:50:48 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 31
2015-06-16 16:51:38 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\form_printing.php on line 35 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 16:51:38 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
